sentiment,news
neutral,According to Gran the company have no plan to move all production to Russia although that be where the company be grow
neutral,Technopolis plan to develop in stage an area of no less than 100 000 square meter in order to host company work in computer technology and telecommunication the statement say
negative,The international electronic industry company Elcoteq have lay off ten of employee from it Tallinn facility contrary to early layoff the company contract the rank of it office worker the daily Postimees report
positive,With the new production plant the company would increase it capacity to meet the expected increase in demand and would improve the use of raw material and therefore increase the production profitability
positive,According to the companyupdated strategy for the year 2009-2012 Basware target a long-term net sale growth in the range of 20 -40 with an operating profit margin of 10 -20 of net sale
positive,FINANCING OF ASPOCOMPGROWTH Aspocomp be aggressively pursue it growth strategy by increasingly focus on technologically more demanding HDI print circuit board PCBs
positive,For the last quarter of 2010 Componentanet sale double to EUR 131 m from EUR 76 m for the same period a year earlier while it move to a zero pre-tax profit from a pre-tax loss of EUR 7 m
positive,In the third quarter of 2010 net sale increase by 5 to EUR 205 m and operating profit by 34 to EUR 23 m
positive,Operating profit rise to EUR 13 m from EUR 8 m in the corresponding period in 2007 represent 7 of net sale
positive,Operating profit total EUR 21 m up from EUR 18 m in 2007 represent 9 of net sale
positive,TeliaSonera TLSN say the offer be in line with it strategy to increase it ownership in core business holding and would strengthen Eesti Telekomoffering to it customer
positive,STORA ENSO NORSKE SKOG M-REAL UPM-KYMMENE Credit Suisse First Boston CFSB raise the fair value for share in four of the large Nordic forestry group
positive,A purchase agreement for 7 200 ton of gasoline with delivery at the Hamina terminal Finland be sign with Neste Oil OYj at the average Platts index for this September plus eight US dollar per month
positive,Finnish Talentum report it operating profit increase to EUR 20 m in 2005 from EUR 9 m in 2004 and net sale total EUR 103 m up from EUR 96 m
positive,Clothing retail chain Sepp lsales increase by 8 to EUR 155 m and operating profit rise to EUR 31 m from EUR 17 m in 2004
positive,Consolidated net sale increase 16 to reach EUR 74 m while operating profit amount to EUR 0 m compare to a loss of EUR 0 m in the prior year period
positive,Foundries division report it sale increase by 9 to EUR 63 m from EUR 57 m in the corresponding period in 2006 and sale of the Machine Shop division increase by 16 to EUR 41 m from EUR 35 m in the corresponding period in 2006
positive,SINKI AFX Shares close high lead by Nokia after it announce plan to team up with Sanyo to manufacture 3 G handset and by Nokian Tyres after it fourth-quarter earnings report beat analyst expectation dealer say
positive,Incap Contract Manufacturing Services Pvt Ltd a subsidiary of Incap Corporation of Finland plan to double it revenue by 2007-2008
positive,Its board of director will propose a dividend of EUR 0 per share for 2010 up from the EUR 0 per share pay in 2009
positive,Lifetree be found in 2000 and it revenue have rise on an average by 40 with margin in late 30
positive,Filippova A trilateral agreement on investment in the construction of a technology park in St Petersburg be to have be sign in the course of the forum Days of the Russian Economy that open in Helsinki today
positive,MegaFonsubscriber base increase 16 in 2009 to 50 m user a of December 31 while it market share by the number of customer amount to 24 a of late 2009 up from 23 a of late 2008 accord to TeliaSonera estimate
positive,Net income from life insurance double to EUR 6 m from EUR 3 m and net income from non-life insurance rise to EUR 5 m from EUR 1 m in the corresponding period in 2009
positive,Net sale increase to EUR 193 m from EUR 179 m and pretax profit rise by 34 to EUR 43 m. EUR 1 USD 1
positive,Net sale surge by 18 to EUR 167 m. Teleste say that EUR 20 m or 12 of the sale come from the acquisition make in 2009
positive,Nordea Groupoperating profit increase in 2010 by 18 percent year-on-year to 3 billion EURs and total revenue by 3 percent to 9 billion EURs
positive,Operating profit for the nine-month period increase from EUR 13 m while net sale increase from EUR 394 m a compare to the corresponding period in 2005
positive,Operating profit for the nine-month period increase from EUR 3 m and net sale increase from EUR 61 m a compare to the corresponding period in 2007
positive,Operating profit for the three-month period increase from EUR 1 m while revenue increase from EUR 20 m a compare to the corresponding period in 2005
positive,The Brazilian unit of Finnish security solution provider F-Secure sign up 1 500 new client last year online news source Reseller Web quote the divisioncommercial director Vladimir Brand o a say
positive,The companynet profit rise 11 on the year to 82 m EURs in 2005 on sale of 686 m EURs 13 up on the year the company say earlier
positive,The Lithuanian beer market make up 14 m liter in January a rise of 0 percent from the year-earlier figure the Lithuanian Brewers Association report cite the result from it member
positive,Viking Linecargo revenue increase by 5 to EUR 21 m and cargo volume increase by 2 to 70 116 cargo unit
positive,The fair value of the property portfolio double a a result of the Kapiteeli acquisition and total EUR 2 686 1 259 m
